Название,Жанр,Режиссёр,Страна,Год,URL
Шерлок-младший,"комедия, семейный фильм, фэнтези",Бастер Китон,США,1924,https://ru.wikipedia.org/wiki/%D0%A8%D0%B5%D1%80%D0%BB%D0%BE%D0%BA-%D0%BC%D0%BB%D0%B0%D0%B4%D1%88%D0%B8%D0%B9
Школа,драма,Милинд Укей,Индия,2010,https://ru.wikipedia.org/wiki/%D0%A8%D0%BA%D0%BE%D0%BB%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Шквальный огонь,комедия,Боб Кларк,США,1987,https://ru.wikipedia.org/wiki/%D0%A8%D0%BA%D0%B2%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BE%D0%B3%D0%BE%D0%BD%D1%8C
Шквал,драма,Александр Корда,США,1929,https://ru.wikipedia.org/wiki/%D0%A8%D0%BA%D0%B2%D0%B0%D0%BB_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Шкатулка из крепости (Шкатулка Исмаил Бека),"детективный фильм, детский фильм, приключенческий фильм",Гюльбениз Азимзаде,СССР Азербайджанская ССР,1982,https://ru.wikipedia.org/wiki/%D0%A8%D0%BA%D0%B0%D1%82%D1%83%D0%BB%D0%BA%D0%B0_%D0%B8%D0%B7_%D0%BA%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D0%B8
Шкатулка проклятия,"ужасы, триллер",Уле Борнедаль,США Канада,2012,https://ru.wikipedia.org/wiki/%D0%A8%D0%BA%D0%B0%D1%82%D1%83%D0%BB%D0%BA%D0%B0_%D0%BF%D1%80%D0%BE%D0%BA%D0%BB%D1%8F%D1%82%D0%B8%D1%8F
Шкала агрессии,"боевик, триллер",Стивен С. Миллер,США,2012,https://ru.wikipedia.org/wiki/%D0%A8%D0%BA%D0%B0%D0%BB%D0%B0_%D0%B0%D0%B3%D1%80%D0%B5%D1%81%D1%81%D0%B8%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Шкатулка дьявола,ужасы,Лоуренс Фаулер,Великобритания,2019,https://ru.wikipedia.org/wiki/%D0%A8%D0%BA%D0%B0%D1%82%D1%83%D0%BB%D0%BA%D0%B0_%D0%B4%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB%D0%B0
Широко шагая 2: Расплата,боевик,Трип Рид,"США ,",2007,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D1%80%D0%BE%D0%BA%D0%BE_%D1%88%D0%B0%D0%B3%D0%B0%D1%8F_2:_%D0%A0%D0%B0%D1%81%D0%BF%D0%BB%D0%B0%D1%82%D0%B0
Шиза,"психологическая драма, история взросления",Гульшад Омарова,Россия Казахстан,2004,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8z%D0%B0
Широко шагая 3: Правосудие в одиночку,боевик,Трип Рид,США,2007,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D1%80%D0%BE%D0%BA%D0%BE_%D1%88%D0%B0%D0%B3%D0%B0%D1%8F_3:_%D0%9F%D1%80%D0%B0%D0%B2%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D0%B5_%D0%B2_%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D1%87%D0%BA%D1%83
Широко шагая,боевик,Кевин Брэй,США,2004,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D1%80%D0%BE%D0%BA%D0%BE_%D1%88%D0%B0%D0%B3%D0%B0%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2004)"
Шинель,"драма, комедия",Альберто Латтуада,Италия,1952,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D0%BD%D0%B5%D0%BB%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1952)"
Ширли Валентайн,"комедия, драма, мелодрама",Льюис Гилберт,Великобритания США,1989,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D1%80%D0%BB%D0%B8_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B0%D0%B9%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Шина,"драма, ужасы, комедия",Квентин Дюпье,Франция Ангола,2010,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D0%BD%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
